140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius 3 | Aktivni | 20 kWh] price_oracle                      519.94 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 20 kWh] milp_full_period                  170.82 EUR  (  40.8 s)
  [Fluvius 1 | Aktivni | 30 kWh] no_battery                        554.16 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 20 kWh] milp_full_period                  216.27 EUR  (  45.7 s)
  [Fluvius 1 | Aktivni | 30 kWh] self_consumption                  554.17 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 30 kWh] fixed_schedule                    604.82 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] no_battery                        590.82 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 30 kWh] delayed_pv_charge                 554.17 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] self_consumption                  590.89 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 30 kWh] price_threshold                   426.55 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] fixed_schedule                    682.67 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 20 kWh] milp_full_period                  493.46 EUR  (  52.8 s)
  [Fluvius 1 | Aktivni | 30 kWh] price_rank_daily                  425.63 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] delayed_pv_charge                 590.89 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 20 kWh] milp_full_period                  283.50 EUR  (  50.2 s)
  [Fluvius 1 | Aktivni | 30 kWh] peak_shaving                      551.00 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] price_threshold                   473.71 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 30 kWh] no_battery                        521.34 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 30 kWh] no_battery                        676.64 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 20 kWh] milp_full_period                  557.83 EUR  (  55.3 s)
  [Fluvius 1 | Aktivni | 30 kWh] self_consumption_peak_shaving     551.19 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] price_rank_daily                  477.83 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 30 kWh] self_consumption                  521.64 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 30 kWh] self_consumption                  676.68 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 30 kWh] price_oracle                      425.75 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 30 kWh] peak_shaving                      591.61 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 30 kWh] fixed_schedule                    507.76 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 30 kWh] no_battery                        586.75 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 30 kWh] fixed_schedule                    746.13 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] self_consumption_peak_shaving     591.87 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 30 kWh] delayed_pv_charge                 521.64 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 30 kWh] self_consumption                  587.15 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 30 kWh] delayed_pv_charge                 676.68 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] price_oracle                      473.01 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 30 kWh] price_threshold                   500.80 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 30 kWh] fixed_schedule                    574.67 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 30 kWh] price_threshold                   520.64 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 30 kWh] price_rank_daily                  510.20 EUR  (   1.6 s)
