140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius_PV 3 | Aktivni | 5 kWh] price_rank_daily                   74.37 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] price_rank_daily                  144.28 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] no_battery                        306.53 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] price_threshold                   384.61 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] peak_shaving                      164.79 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] peak_shaving                      215.06 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] self_consumption                  162.77 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] price_rank_daily                  354.38 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] self_consumption_peak_shaving      69.76 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] milp_full_period                  934.58 EUR  (  94.3 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] self_consumption_peak_shaving     149.15 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] fixed_schedule                    272.07 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] peak_shaving                      470.99 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] price_oracle                      100.49 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] price_oracle                      162.20 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] delayed_pv_charge                 179.85 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] self_consumption_peak_shaving     364.36 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] no_battery                        943.36 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] price_threshold                   207.80 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] price_oracle                      386.14 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] self_consumption                  943.57 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] price_rank_daily                  177.82 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] fixed_schedule                    989.33 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] milp_full_period                   57.01 EUR  (  29.1 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] peak_shaving                      289.88 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] delayed_pv_charge                 943.57 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] no_battery                        595.76 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] self_consumption_peak_shaving     172.94 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] price_threshold                   943.57 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] self_consumption                  380.23 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] milp_full_period                   19.23 EUR  (  90.8 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] price_rank_daily                  943.57 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] price_oracle                      207.13 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] fixed_schedule                    524.20 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] peak_shaving                      940.77 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] no_battery                        237.92 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] delayed_pv_charge                 404.31 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] self_consumption_peak_shaving     941.00 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] self_consumption                  153.36 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] price_threshold                   413.76 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] price_oracle                      943.57 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] fixed_schedule                    174.99 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] price_rank_daily                  395.03 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] delayed_pv_charge                 164.45 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] peak_shaving                      570.22 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] price_threshold                   172.51 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] self_consumption_peak_shaving     394.90 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] price_rank_daily                  144.77 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] price_oracle                      412.68 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] peak_shaving                      224.92 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] self_consumption_peak_shaving     158.86 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] price_oracle                      165.91 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] milp_full_period                  -27.15 EUR  (  27.2 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] no_battery                        177.35 EUR  (   1.5 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] self_consumption                   62.06 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] fixed_schedule                    134.40 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] delayed_pv_charge                  78.24 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] price_threshold                   100.66 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] price_rank_daily                   74.80 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] peak_shaving                      164.52 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] self_consumption_peak_shaving      66.72 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] price_oracle                      100.71 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 20 kWh] milp_full_period                 -180.67 EUR  (  38.7 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] no_battery                        306.53 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 30 kWh] milp_full_period                  -96.49 EUR  (  32.6 s)
[79/140] Fluvius_PV_user_001_aktivni.csv (40 rows)  (2195s elapsed)
  [Fluvius_PV 2 | Aktivni | 30 kWh] self_consumption                  160.38 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] fixed_schedule                    272.14 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] milp_full_period                  350.92 EUR  (  49.7 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] delayed_pv_charge                 177.00 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] no_battery                        486.02 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] price_threshold                   207.76 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] no_battery                        122.52 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] self_consumption                  353.40 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] price_rank_daily                  198.40 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] self_consumption                   55.45 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] fixed_schedule                    457.97 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] peak_shaving                      289.35 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] fixed_schedule                     98.86 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] delayed_pv_charge                 353.45 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] self_consumption_peak_shaving     171.12 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] delayed_pv_charge                  56.16 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] price_threshold                   381.57 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] price_oracle                      207.09 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] price_threshold                    69.37 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] price_rank_daily                  353.40 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] price_rank_daily                   55.45 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] peak_shaving                      470.17 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] peak_shaving                      112.12 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] self_consumption_peak_shaving     363.06 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] self_consumption_peak_shaving      59.13 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] price_oracle                      383.10 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] price_oracle                       69.75 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 10 kWh] milp_full_period                 -136.26 EUR  (  27.9 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] milp_full_period                  141.01 EUR  (  67.9 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] no_battery                        177.35 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] no_battery                        226.42 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] self_consumption                   60.34 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] self_consumption                  140.91 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] fixed_schedule                    134.47 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] fixed_schedule                    211.68 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] delayed_pv_charge                  76.35 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] delayed_pv_charge                 141.21 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] price_threshold                   100.63 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] price_threshold                   158.74 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] price_rank_daily                   74.63 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] price_rank_daily                  140.91 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] peak_shaving                      164.00 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] peak_shaving                      214.55 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] self_consumption_peak_shaving      65.00 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] self_consumption_peak_shaving     145.94 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] price_oracle                      100.68 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] price_oracle                      159.74 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] milp_full_period                  -84.57 EUR  ( 123.8 s)
  [Fluvius_PV 2 | Aktivni | 30 kWh] milp_full_period                 -327.38 EUR  (  35.9 s)
[80/140] Fluvius_PV_user_002_aktivni.csv (40 rows)  (2241s elapsed)
  [Fluvius_PV 3 | Dinamični | 10 kWh] no_battery                        124.22 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 5 kWh] milp_full_period                   53.87 EUR  (  32.1 s)
  [Fluvius_PV 3 | Dinamični | 10 kWh] self_consumption                   52.18 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] no_battery                        122.52 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 10 kWh] fixed_schedule                     70.03 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] no_battery                        288.21 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] self_consumption                   53.20 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 10 kWh] delayed_pv_charge                  62.15 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] self_consumption                  264.90 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] fixed_schedule                     98.92 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 10 kWh] price_threshold                    70.39 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] fixed_schedule                    248.06 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] delayed_pv_charge                  53.44 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] milp_full_period                   96.45 EUR  ( 115.0 s)
  [Fluvius_PV 3 | Dinamični | 10 kWh] price_rank_daily                   49.00 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] delayed_pv_charge                 267.87 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] price_threshold                    65.84 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 10 kWh] peak_shaving                      113.13 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] price_threshold                   256.44 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] no_battery                        480.24 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] price_rank_daily                   53.20 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 10 kWh] self_consumption_peak_shaving      56.28 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] price_rank_daily                  237.64 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] self_consumption                  348.02 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] peak_shaving                      111.87 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 10 kWh] price_oracle                       65.92 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] peak_shaving                      277.55 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] fixed_schedule                    368.56 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 30 kWh] milp_full_period                  934.58 EUR  (  97.4 s)
[81/140] Fluvius_HP_EV_user_005_redni1t.csv (40 rows)  (2255s elapsed)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] self_consumption_peak_shaving      56.81 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] self_consumption_peak_shaving     261.22 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] delayed_pv_charge                 365.25 EUR  (   1.4 s)
  [Fluvius_PV 3 | Redni 1T | 10 kWh] price_oracle                       66.27 EUR  (   1.4 s)
  [Fluvius_PV 4 | Dinamični | 5 kWh] price_oracle                      253.05 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] price_threshold                   362.22 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] price_rank_daily                  320.25 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 30 kWh] milp_full_period                  349.84 EUR  (  49.1 s)
[82/140] Fluvius_PV_user_001_redni1t.csv (40 rows)  (2259s elapsed)
  [Fluvius_PV 4 | Aktivni | 5 kWh] no_battery                        299.72 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] peak_shaving                      463.68 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] self_consumption                  266.25 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] self_consumption_peak_shaving     358.83 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] fixed_schedule                    295.42 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 20 kWh] price_oracle                      352.07 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 20 kWh] milp_full_period                 -289.23 EUR  (  36.9 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] delayed_pv_charge                 270.09 EUR  (   1.4 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] no_battery                        259.30 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] price_threshold                   256.69 EUR  (   1.4 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] self_consumption                  236.76 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] no_battery                        177.35 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] price_rank_daily                  249.16 EUR  (   1.4 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] fixed_schedule                    255.89 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] self_consumption                   58.60 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] peak_shaving                      289.81 EUR  (   1.4 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] delayed_pv_charge                 236.80 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] fixed_schedule                    134.53 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] self_consumption_peak_shaving     266.73 EUR  (   1.4 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] price_threshold                   239.78 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] delayed_pv_charge                  74.74 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] price_oracle                      256.50 EUR  (   1.4 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] price_rank_daily                  236.76 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] price_threshold                   100.57 EUR  (   1.4 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] peak_shaving                      251.55 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] price_rank_daily                   92.93 EUR  (   1.4 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] self_consumption_peak_shaving     236.47 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] peak_shaving                      163.47 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 20 kWh] milp_full_period                  137.55 EUR  (  47.8 s)
  [Fluvius_PV 4 | Redni 1T | 5 kWh] price_oracle                      240.07 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] self_consumption_peak_shaving      63.30 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] no_battery                        226.42 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 30 kWh] price_oracle                      100.62 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] self_consumption                  139.66 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] fixed_schedule                    211.67 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 10 kWh] milp_full_period                 -111.73 EUR  ( 114.8 s)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] delayed_pv_charge                 139.78 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] price_threshold                   157.95 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] no_battery                        237.92 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] price_rank_daily                  139.66 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] self_consumption                  150.91 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] peak_shaving                      214.04 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] fixed_schedule                    174.14 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] milp_full_period                  307.16 EUR  ( 180.0 s)
[83/140] Fluvius_HP_EV_user_005.csv (40 rows)  (2286s elapsed)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] self_consumption_peak_shaving     145.02 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] delayed_pv_charge                 161.87 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 30 kWh] price_oracle                      158.95 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] price_threshold                   168.55 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] price_rank_daily                  143.94 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] peak_shaving                      224.61 EUR  (   1.4 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] no_battery                        223.69 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] self_consumption_peak_shaving     156.77 EUR  (   1.4 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] self_consumption                  186.83 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 20 kWh] price_oracle                      161.00 EUR  (   1.4 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] fixed_schedule                    178.18 EUR  (   1.4 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] delayed_pv_charge                 190.55 EUR  (   1.4 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] price_threshold                   187.24 EUR  (   1.4 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] price_rank_daily                  166.17 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 5 kWh] milp_full_period                  162.24 EUR  (  27.7 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] peak_shaving                      208.72 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 10 kWh] no_battery                        299.72 EUR  (   1.4 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] self_consumption_peak_shaving     186.59 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 10 kWh] self_consumption                  264.91 EUR  (   1.4 s)
  [Fluvius_PV 5 | Dinamični | 5 kWh] price_oracle                      182.51 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 10 kWh] fixed_schedule                    294.27 EUR  (   1.4 s)
  [Fluvius_PV 4 | Aktivni | 10 kWh] delayed_pv_charge                 268.29 EUR  (   1.4 s)
